advertiser_name,vertical
Unknown Advertiser,Unknown Category
Unknown Advertiser,"Government, Politics, and Social Concerns"
Progressive,"Government, Politics, and Social Concerns"
Progressive,Insurance
T-Mobile,"Government, Politics, and Social Concerns"
T-Mobile,Electronics & Communication
T-Mobile,Life & Entertainment
Allstate,Life & Entertainment
Allstate,Insurance
Liberty Mutual,Life & Entertainment
Liberty Mutual,Insurance
Burger King,Restaurants
Burger King,Life & Entertainment
Downy,Home & Garden
Febreze,Home & Garden
Verizon,Retail Stores
Verizon,"Vehicles Parts, Supplies, and Services"
Verizon,"Business, Finance, Legal, and Logistics"
Verizon,Life & Entertainment
Verizon,Electronics & Communication
Walmart,Retail Stores
Walmart,Life & Entertainment
Walmart,Electronics & Communication
Walmart,Insurance
Domino's,Restaurants
Domino's,Life & Entertainment
Domino's,Insurance
Tremfya,Pharmaceutical & Medical
ABC,"Government, Politics, and Social Concerns"
ABC,Life & Entertainment
ABC,Entertainment / Media / Leisure
Amazon,Retail Stores
Amazon,"Vehicles Parts, Supplies, and Services"
Amazon,Electronics & Communication
CBS,Education
CBS,Life & Entertainment
CBS,Entertainment / Media / Leisure
McDonald’s,Restaurants
McDonald’s,Education
McDonald’s,Life & Entertainment
NBC,"Government, Politics, and Social Concerns"
NBC,Life & Entertainment
NBC,Entertainment / Media / Leisure
Swiffer,Home & Garden
Amazon Prime,Retail Stores
Amazon Prime,Life & Entertainment
Amazon Prime,Pharmaceutical & Medical
Capital One,"Vehicles Parts, Supplies, and Services"
Capital One,"Business, Finance, Legal, and Logistics"
Capital One,Life & Entertainment
Capital One,Electronics & Communication
Target,Retail Stores
Target,Food & Beverage
Target,"Business, Finance, Legal, and Logistics"
Target,"Apparel, Footwear, and Accessories"
Target,Life & Entertainment
Target,Home & Garden
Lowe's,Retail Stores
Lowe's,"Business, Finance, Legal, and Logistics"
Lowe's,Life & Entertainment
Lowe's,Home & Garden
FOX,Life & Entertainment
FOX,Electronics & Communication
GEICO,Life & Entertainment
GEICO,Insurance
Chase,"Business, Finance, Legal, and Logistics"
Chase,Life & Entertainment
Kohl's,Retail Stores
Kohl's,Health & Beauty
Kohl's,"Apparel, Footwear, and Accessories"
Dawn,Home & Garden
Universal Pictures,Life & Entertainment
Tide,Home & Garden
AT&T,Electronics & Communication
AT&T,Life & Entertainment
Toyota,"Vehicles Parts, Supplies, and Services"
Toyota,Vehicles Manufacturers
Toyota,"Government, Politics, and Social Concerns"
Ford,"Vehicles Parts, Supplies, and Services"
Ford,Vehicles Manufacturers
Ford,Automotive / Vehicles
Ford,Life & Entertainment
Skyrizi,Pharmaceutical & Medical
Cascade,Home & Garden
