vertical,imp_24_h2,imp_25_h2,%_change
"Apparel, Footwear, and Accessories",41204352328.01348,33190933743.53298,-19.44799064110624
"Business, Finance, Legal, and Logistics",172638414470.5933,172850870012.142,0.1230638859840349
Food & Beverage,235675158049.2771,201685469280.8188,-14.42226200240901
Electronics & Communication,119205718801.0792,115681133333.3736,-2.956725149728003
Restaurants,163327760208.5788,148803494086.3901,-8.8927112596416
Life & Entertainment,460968856102.2599,435845513433.9287,-5.450117146907198
Consumer Products,2209691.178488124,4423989.375240208,100.2084914991203
Retail Stores,233235930512.0826,229855046123.47,-1.449555555694051
Travel,38950137416.48294,40003562376.05233,2.704547479012488
Health & Beauty,239278221259.1068,216340100519.9802,-9.586380498159754
Home & Garden,194190967085.5798,202912087100.8532,4.491001896823562
Education,18168612635.80035,16974767860.20823,-6.57091875710814
"Government, Politics, and Social Concerns",71206652905.26242,51884415460.75747,-27.13543841221186
"Vehicles Parts, Supplies, and Services",36563938324.8987,43201595564.07058,18.15356207034154
Careers Services,7960072220.884937,5676337454.463258,-28.68987495402136
Insurance,101095864662.9564,116836884573.5162,15.57038951399127
Vehicles Manufacturers,115505472817.7442,104031322786.6975,-9.933858328212477
Pets,45905353046.46047,50271505820.25011,9.511206175390246
Pharmaceutical & Medical,278122385330.8744,302166999944.2007,8.64533596773275
Energy & Power,1006025210.992185,1421114314.851906,41.26030832272509
